NP_001081388.1_melatonin_receptor_type_1C_Xenopus_laevis	MelatoninRs	Blue	Blue

RDD42218.1_Prostaglandin_E2_receptor_EP4_subtype_Trichoplax_sp._H2	Clade1	Red	Red
XP_032900198.1_somatostatin_receptor_type_2-like_Amblyraja_radiata	Clade2	Green	Green
XP_013773454.1_5-hydroxytryptamine_receptor_2A-like_Limulus_polyphemus	Clade3	Cyan	Cyan

RDD42723.1_Rhodopsin_GQ-coupled_Trichoplax_sp._H2	LabelOpsins	LightBlue	Blue
RDD38936.1_G-protein_coupled_receptor_161_Trichoplax_sp._H2	Placopsins	Red	Red

# Use the last entry as outgroup for rooting the tree
NP_001014890.1_rhodopsin_Bos_taurus	Opsins	Black	White
